Ly6c_percent,CD27_percent
10.6191779600000,2.55391384500000
7.30989886200000,3.67751047900000
14.9728371500000,8.20805708300000
24.3272505300000,8.37630238000000
0,8.52004802800000
2.76906732300000,10.9798636800000
3.41472713600000,12.8660064300000
15.9973499600000,11.0672390100000
8.14920270700000,14.4903500100000
1.97027095900000,22.2054850500000
2.92135261200000,22.0301738000000
3.49655321500000,28.2319266500000
4.15800510100000,38.7644966100000
3.56877062500000,49.8981034900000
1.52629335600000,54.8134470500000
0,53.2770333400000
3.68288184600000,71.2835590600000
1.38204472200000,80.7340610300000
0.981774429000000,75.9500565200000
0,86.3198284700000
0,100
3.41472713600000,12
0,100
0,100
0,100
